nb;dept;COMMUNE;Commune;CP;Code_insee;longitude;latitude
1;1;OZAN;Ozan;1190;1284;4.91667;46.3833
2;1;CORMORANCHE-SUR-SAONE;Cormoranche-sur-Saône;1290;1123;4.83333;46.2333
3;1;PLAGNE;Plagne;1130;1298;5.73333;46.1833
4;1;TOSSIAT;Tossiat;1250;1422;5.31667;46.1333
5;1;POUILLAT;Pouillat;1250;1309;5.43333;46.3333
6;1;TORCIEU;Torcieu;1230;1421;5.4;45.9167
7;1;REPLONGES;Replonges;1620;1320;4.88333;46.3
8;1;CORCELLES;Corcelles;1110;1119;5.58333;46.0333
9;1;PERON;Péron;1630;1288;5.93333;46.2
10;1;RELEVANT;Relevant;1990;1319;4.95;46.0833
11;1;CHAVEYRIAT;Chaveyriat;1660;1096;5.06667;46.1833
12;1;VAUX-EN-BUGEY;Vaux-en-Bugey;1150;1431;5.35;45.9167
13;1;MAILLAT;Maillat;1430;1228;5.55;46.1333
14;1;FARAMANS;Faramans;1800;1156;5.11667;45.9
15;1;BEON;Béon;1350;1039;5.75;45.8333
16;1;SAINT-BERNARD;Saint-Bernard;1600;1339;4.73723;45.945
17;1;ROSSILLON;Rossillon;1510;1329;5.6;45.8333
18;1;PONT-D'AIN;Pont-d'Ain;1160;1304;5.33333;46.05
19;1;NANTUA;Nantua;1460;1269;5.61667;46.15
20;1;CHAVANNES-SUR-REYSSOUZE;Chavannes-sur-Reyssouze;1190;1094;5;46.4333
21;1;NEUVILLE-LES-DAMES;Neuville-les-Dames;1400;1272;5;46.1667
22;1;FLAXIEU;Flaxieu;1350;1162;5.73333;45.8167
23;1;HOTONNES;Hotonnes;1260;1187;5.68333;46
24;1;SAINT-SORLIN-EN-BUGEY;Saint-Sorlin-en-Bugey;1150;1386;5.36667;45.8833
25;1;SONGIEU;Songieu;1260;1409;5.7;45.9667
26;1;VIRIEU-LE-PETIT;Virieu-le-Petit;1260;1453;5.71667;45.9
27;1;SAINT-DENIS-EN-BUGEY;Saint-Denis-en-Bugey;1500;1345;5.33333;45.95
28;1;CHARNOZ-SUR-AIN;Charnoz-sur-Ain;1800;1088;5.21667;45.8667
29;1;CHAZEY-SUR-AIN;Chazey-sur-Ain;1150;1099;5.25;45.9
30;1;MARCHAMP;Marchamp;1680;1233;5.55;45.7833
31;1;CULOZ;Culoz;1350;1138;5.78333;45.85
32;1;MANTENAY-MONTLIN;Mantenay-Montlin;1560;1230;5.08333;46.4167
33;1;MARBOZ;Marboz;1851;1232;5.25;46.3333
